# Peak_Position  FWHM
5.1200 0.0813
5.5800 0.0290
5.8600 0.0208
5.9800 0.0227
6.1200 0.0813
6.7400 0.0229
7.3000 0.0257
8.1200 0.0448
8.9400 0.1233
9.7800 0.0340
10.5600 0.0282
11.4600 0.0944
11.6400 0.0237
11.8800 0.0276
12.3800 0.0292
12.8000 0.1177
14.0600 0.1905
14.6400 0.0279
15.0400 0.0450
15.4600 0.0298
16.9200 0.0286
17.0200 0.0518
17.2600 0.0196
17.5200 0.0382
18.3600 0.0533
18.9000 0.0218
19.2000 0.0330
19.9400 0.2638
20.2200 0.0470
20.3200 0.0295
20.5800 0.0195
20.6800 0.0285
20.9200 0.0271
21.1000 0.0246
21.4000 0.3012
21.6400 0.0228
21.9800 0.0704
22.1400 0.0976
22.3400 0.0327
22.4600 0.0279
22.7200 0.0469
22.9000 0.0216
23.1800 0.0593
23.4000 0.0890
23.6200 0.0348
23.7200 0.0371
24.3800 0.2070
25.0600 0.0311
25.4400 0.0217
25.5400 0.0247
25.7000 0.2462
26.0800 0.0447
26.2200 0.0359
26.5000 0.1049
26.9000 0.0832
27.0400 0.0632
27.4200 0.0300
27.6200 0.0235
27.8400 0.0206
28.2400 0.2108
28.6000 0.0245
28.8000 0.0269
28.9200 0.0200
29.1000 0.0388
29.2400 0.0570
29.4000 0.0704
29.7400 0.0614
29.8800 0.0730
30.4400 0.3967
30.6800 0.0581
30.9600 0.0513
31.1200 0.0557
31.2600 0.0161
31.4400 0.0216
31.6400 0.2372
31.7600 0.0180
32.0000 0.0427
32.2000 0.0245
32.3000 0.0220
32.5200 0.0376
32.6800 0.0359
32.9600 0.0727
33.2000 0.0190
33.3800 0.0405
33.6000 0.0583
33.8000 0.0586
34.1400 0.0249
34.4600 0.0287
34.7600 0.0673
34.9000 0.0291
35.1600 0.0246
35.2800 0.2798
36.0600 0.0930
36.6200 0.0268
36.8200 0.0338
37.0600 0.0925
37.2800 0.0278
37.5000 0.1670
37.7200 0.0253
38.3600 0.0243
38.4800 0.0520
38.9000 0.0404
39.1600 0.0322
39.4600 0.1040
39.7800 0.0238
